Province,Pipeline Water,Electricity,Pipeline Gas,Bathroom,Kitchen
EAZ,99.06,100,96.89,97.74,97.52
WAZ,98.92,100,73.97,99.84,99.76
ARD,95,100,97.9,94.33,93.83
ESF,100,100,97.69,99.48,99.36
ALB,98.97,100,88.08,99.54,99.9
ILM,99.4,100,91.76,99.37,98.56
BSH,99.68,100,56.37,99.72,99.35
TEH,100,100,99.26,99.62,99.81
CHR,98.66,99.36,86.86,96.53,89.82
SKH,95.16,100,85.53,92.29,90.36
KHR,99.11,100,90.13,98.17,99.08
NKH,100,100,98.96,94.03,86.83
KHZ,99.23,100,76.23,99.85,99.45
ZAN,94.9,100,91.91,98.29,92.98
SEM,98.91,100,91.42,98.8,100
SVB,80.3,99.88,0.93,74.45,66.38
FRS,99.74,100,80.3,99.07,98.82
GHZ,99.64,100,98.24,100,100
Qom,96.67,100,96.92,98.97,99.49
KRD,99.52,100,93.59,98.49,97.92
KRN,90.23,99.85,53.23,76.36,75.18
KRS,97.94,100,86.14,97.39,95.69
KVB,100,100,82.57,99.01,96.35
GLS,99.78,100,95.26,98.71,98.35
GLN,75.06,100,96.57,98.98,100
LRS,97.17,100,86.11,96.17,96.22
MZN,99.46,100,97.87,98.74,98.28
MRK,100,100,98.48,99.42,98.61
HRM,98.29,100,0.83,97.55,98.24
HMD,98.03,100,99.56,97.77,99.77
YZD,99.33,100,92.45,99.27,99.73
