Province,GDP_Per_capita_share
EAZ,3.37
WAZ,1.89
ARD,1.07
ESF,5.63
ALB,2.99
ILM,1.13
BSH,5.68
TEH,22.04
CHR,0.65
SKH,0.53
KHR,4.91
NKH,0.58
KHZ,14.99
ZAN,0.98
SEM,1.05
SVB,1.37
FRS,4.35
GHZ,1.54
Qom,1.00
KRD,0.93
KRN,3.46
KRS,1.63
KVB,1.21
GLS,1.27
GLN,2.16
LRS,1.23
MZN,3.17
MRK,1.95
HRM,2.28
HMD,1.29
YZD,2.03
